File Path: E:/Data/Sample_Input/DE_Sample/GSE108643_Cuffdiff.txt
Query:     LPE*LPO:UP-AND-OPE*OPO:UP

Number of rows in LPE*LPO: (100)
Number of rows in OPE*OPO: (100)

test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
PYCR1	PYCR1	PYCR1	chr17:81932385-81937328	OvobPre	OvobPost	OK	1.44553	3.32993	1.20389	2.84533	5e-05	0.00124739	yes
RND3	RND3	RND3	chr2:150468192-150487695	OvobPre	OvobPost	OK	2.12124	4.87457	1.20037	3.92276	5e-05	0.00124739	yes
RNF122	RNF122	RNF122	chr8:33547753-33567128	OvobPre	OvobPost	OK	6.09229	15.4657	1.34402	5.22932	5e-05	0.00124739	yes
S100A9	S100A9	S100A9	chr1:153357853-153361027	OvobPre	OvobPost	OK	3.26231	8.27787	1.34337	2.63648	0.00025	0.00516923	yes
SDC4	SDC4	SDC4	chr20:45325288-45348424	OvobPre	OvobPost	OK	13.4552	39.1463	1.54071	7.10412	5e-05	0.00124739	yes
SERPINH1	SERPINH1	SERPINH1	chr11:75562055-75572804	OvobPre	OvobPost	OK	6.60105	16.9816	1.3632	5.62946	5e-05	0.00124739	yes
SLC19A2	SLC19A2	SLC19A2	chr1:169463910-169485970	OvobPre	OvobPost	OK	28.0025	110.751	1.9837	9.57197	5e-05	0.00124739	yes
SLC20A1	SLC20A1	SLC20A1	chr2:112645856-112663823	OvobPre	OvobPost	OK	3.67917	9.645	1.3904	5.57035	5e-05	0.00124739	yes
SLC25A25	SLC25A25	SLC25A25	chr9:128068199-128109258	OvobPre	OvobPost	OK	7.62244	45.3425	2.57254	11.7293	5e-05	0.00124739	yes
SMAD7	SMAD7	SMAD7	chr18:48919852-48950711	OvobPre	OvobPost	OK	3.14028	7.93552	1.33743	4.61723	5e-05	0.00124739	yes
STK38L	STK38L	STK38L	chr12:27244144-27325957	OvobPre	OvobPost	OK	3.83801	9.75628	1.34597	5.83181	5e-05	0.00124739	yes
TAGLN	TAGLN	TAGLN	chr11:117179222-117204792	OvobPre	OvobPost	OK	26.6934	54.8367	1.03866	3.76979	5e-05	0.00124739	yes
TBX3	TBX3	TBX3	chr12:114670253-114684164	OvobPre	OvobPost	OK	1.8912	4.39941	1.21801	4.53263	5e-05	0.00124739	yes
TES	TES	TES	chr7:116210492-116258783	OvobPre	OvobPost	OK	1.77546	4.39977	1.30923	4.10002	5e-05	0.00124739	yes
THBD	THBD	THBD	chr20:23045632-23049664	OvobPre	OvobPost	OK	3.22539	8.60802	1.41621	5.74982	5e-05	0.00124739	yes
TNFRSF12A	TNFRSF12A	TNFRSF12A	chr16:3020311-3022382	OvobPre	OvobPost	OK	6.48117	22.1219	1.77115	5.85142	5e-05	0.00124739	yes
TPM4	TPM4	TPM4	chr19:16067506-16103003	OvobPre	OvobPost	OK	10.925	45.1204	2.04615	9.35794	5e-05	0.00124739	yes
TSC22D2	TSC22D2	TSC22D2	chr3:150408334-150460118	OvobPre	OvobPost	OK	2.14127	4.92762	1.20242	4.59063	5e-05	0.00124739	yes
VASP	VASP	VASP	chr19:45507429-45526982	OvobPre	OvobPost	OK	3.23837	7.77061	1.26276	4.44496	5e-05	0.00124739	yes
VEGFA	VEGFA	VEGFA	chr6:43770208-43786486	OvobPre	OvobPost	OK	54.7211	123.187	1.17068	5.73543	5e-05	0.00124739	yes
VGLL2	VGLL2	VGLL2	chr6:117265557-117273565	OvobPre	OvobPost	OK	55.9247	137.051	1.29315	6.26918	5e-05	0.00124739	yes
XIRP1	XIRP1	XIRP1	chr3:39183214-39192596	OvobPre	OvobPost	OK	59.5153	140.878	1.24311	5.4879	5e-05	0.00124739	yes
ZBTB10	ZBTB10	ZBTB10	chr8:80485618-80526265	OvobPre	OvobPost	OK	2.41107	5.61646	1.21999	5.39313	5e-05	0.00124739	yes
ZCCHC2	ZCCHC2	ZCCHC2	chr18:62523424-62586743	OvobPre	OvobPost	OK	3.4203	6.91118	1.01481	4.3557	5e-05	0.00124739	yes
ZYX	ZYX	ZYX	chr7:143381266-143391111	OvobPre	OvobPost	OK	11.2431	25.0119	1.15357	5.14246	5e-05	0.00124739	yes

